µÁ—π(V),x÷·(s)
3.391,0.0
1.438,0.0008004002001000501
3.0,0.0016008004002001002
3.0,0.0024012006003001503
4.953,0.0032016008004002003
1.438,0.004002001000500251
4.562,0.004802401200600301
3.391,0.005602801400700351
1.438,0.006403201600800401
2.609,0.007203601800900451
0.266,0.008004002001000501
3.0,0.00880440220110055
3.0,0.009604802401200601
1.047,0.01040520260130065
2.609,0.011205602801400701
1.047,0.01200600300150075
2.219,0.012806403201600801
3.0,0.013606803401700852
3.0,0.014407203601800901
1.438,0.015207603801900952
3.0,0.016008004002001003
5.344,0.01680840420210105
2.219,0.0176088044022011
3.0,0.018409204602301152
2.609,0.019209604802401203
0.656,0.020010005002501254
2.219,0.0208104052026013
1.438,0.02161080540270135
1.438,0.022411205602801403
-0.125,0.023211605802901453
0.656,0.0240120060030015
3.0,0.02481240620310155
1.828,0.025612806403201602
0.656,0.026413206603301653
-0.516,0.027213606803401704
1.828,0.02801400700350175
1.047,0.028814407203601802
2.609,0.029614807403701853
1.047,0.030415207603801904
3.0,0.03121560780390195
0.656,0.032016008004002006
1.828,0.03281640820410205
-0.125,0.0336168084042021
1.828,0.034417208604302155
1.047,0.0352176088044022
1.438,0.036018009004502256
-0.906,0.036818409204602304
-0.516,0.03761880940470235
-0.906,0.038419209604802405
1.438,0.03921960980490245
-0.906,0.04002001000500251
1.438,0.040820410205102554
0.656,0.0416208104052026
3.0,0.042421210605302656
0.656,0.0432216108054027
1.438,0.04402201100550275
-0.125,0.044822411205602805
1.047,0.04562281140570285
-0.125,0.04642321160580291
-0.516,0.047223611805902954
1.438,0.048024012006003
0.266,0.048824412206103056
-2.078,0.0496248124062031
0.266,0.05042521260630316
-1.688,0.051225612806403205
-0.125,0.05202601300650325
-0.125,0.052826413206603307
-0.125,0.053626813406703354
-0.516,0.05442721360680341
1.047,0.055227613806903456
-0.516,0.0560280140070035
-0.516,0.05682841420710356
-0.906,0.057628814407203605
-1.688,0.05842921460730366
-0.125,0.059229614807403706
-0.906,0.060030015007503754
-2.859,0.06083041520760381
-2.078,0.061630815407703855
1.438,0.0624312156078039
-1.688,0.06323161580790396
-1.297,0.06403201600800401
0.656,0.06483241620810405
-2.469,0.0656328164082041
-0.906,0.06643321660830416
-2.859,0.0672336168084042
-1.688,0.06803401700850426
-0.906,0.06883441720860431
-0.516,0.06963481740870435
-2.469,0.0704352176088044
0.656,0.07123561780890446
1.438,0.07203601800900451
-1.688,0.07283641820910455
-0.516,0.07363681840920461
-1.688,0.07443721860930466
-5.203,0.0752376188094047
-3.25,0.07603801900950476
-2.469,0.07683841920960481
-2.078,0.07763881940970485
-2.469,0.0784392196098049
-3.25,0.07923961980990496
-3.25,0.08004002001000501
-2.078,0.08084042021010505
-2.469,0.08164082041020511
-0.516,0.08244122061030516
-0.906,0.0832416208104052
-1.297,0.08404202101050526
-3.25,0.08484242121060531
-2.859,0.08564282141070535
-3.641,0.0864432216108054
-1.688,0.08724362181090546
-4.422,0.0880440220110055
-3.641,0.08884442221110556
-4.031,0.08964482241120561
-4.422,0.09044522261130566
-4.422,0.0912456228114057
-1.688,0.09204602301150576
-1.297,0.09284642321160581
-4.422,0.09364682341170585
-1.688,0.09444722361180591
-1.688,0.09524762381190596
-0.125,0.096048024012006
-2.078,0.09684842421210606
-2.469,0.09764882441220611
-2.469,0.09844922461230617
-4.812,0.0992496248124062
-4.422,0.10005002501250626
-1.688,0.10085042521260631
-3.25,0.10165082541270636
-3.641,0.10245122561280641
-1.688,0.10325162581290646
-4.812,0.1040520260130065
-2.469,0.10485242621310656
-4.812,0.10565282641320661
-1.688,0.10645322661330665
-3.641,0.10725362681340671
-2.469,0.10805402701350676
-2.859,0.10885442721360682
-1.688,0.10965482741370686
-1.297,0.11045522761380691
-2.859,0.11125562781390697
-2.859,0.112056028014007
-1.688,0.11285642821410706
-0.906,0.11365682841420711
-4.422,0.11445722861430715
-2.469,0.11525762881440721
-1.297,0.11605802901450726
-4.422,0.11685842921460732
-5.594,0.11765882941470736
-4.812,0.11845922961480741
-2.469,0.11925962981490747
-3.25,0.12006003001500751
-2.469,0.12086043021510756
-1.297,0.12166083041520762
-2.078,0.12246123061530766
-0.516,0.12326163081540771
0.656,0.12406203101550776
-3.25,0.1248624312156078
-2.859,0.12566283141570786
-3.25,0.12646323161580791
-4.031,0.12726363181590797
-4.422,0.12806403201600802
-2.078,0.12886443221610805
-2.078,0.1296648324162081
-0.906,0.13046523261630816
-2.859,0.1312656328164082
-4.422,0.13206603301650827
-3.641,0.13286643321660832
-3.641,0.13366683341670837
-2.469,0.1344672336168084
-0.906,0.13526763381690846
-3.25,0.1360680340170085
